author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
Arundhati Dutta,"EMERGING MARKETS-S. Korea's won leads Asia FX gains, Taiwan stocks jump 2% - Reuters",* Thai stocks hit highest in a month * Philippine c.bank says no drastic change in monetary policy * Bank of Korea rate decision this week eyed By Arundhati Dutta Aug 23 (Reuters) - The South Korean won led gains among emerging Asian currencies on Monday ahea…,https://www.reuters.com/article/emerging-markets-asia-idUSL1N2PU09N,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-23 05:22:00+00:00,"* Thai stocks hit highest in a month
 * Philippine c.bank says no drastic change in monetary
policy
 * Bank of Korea rate decision this week eyed
By Arundhati Dutta
 Aug 23 (Reuters) - The South… [+3105 chars]",reuters,Reuters
Reuters,Qatar's Commercial Bank raises $875 mln loan - Reuters,"Qatar's Commercial Bank <a href=""https://www.reuters.com/companies/COMB.QA"" target=""_blank"">(COMB.QA)</a> has borrowed $875 million to refinance existing debt and support general funding requirements, it said in a stock exchange filing on Monday.",https://www.reuters.com/world/middle-east/qatars-commercial-bank-raises-875-mln-loan-2021-08-23/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=50,2021-08-23 06:06:00+00:00,"DUBAI, Aug 23 (Reuters) - Qatar's Commercial Bank (COMB.QA) has borrowed $875 million to refinance existing debt and support general funding requirements, it said in a stock exchange filing on Monday… [+350 chars]",reuters,Reuters
Reuters,Japan's Mizuho reports ATM glitch in latest tech trouble - Reuters,"Mizuho Financial Group's <a href=""https://www.reuters.com/companies/8411.T"" target=""_blank"">(8411.T)</a> main banking unit said its automated teller machines (ATMs) in some parts of Japan were hit by a system glitch on Monday.",https://www.reuters.com/world/asia-pacific/japans-mizuho-reports-atm-glitch-latest-tech-trouble-2021-08-23/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=50,2021-08-23 07:02:00+00:00,"TOKYO, Aug 23 (Reuters) - Mizuho Financial Group's (8411.T) main banking unit said its automated teller machines (ATMs) in some parts of Japan were hit by a system glitch on Monday.
The problem foll… [+370 chars]",reuters,Reuters
Aniruddha Ghosh,Wall Street analysts bet on Robinhood's potential to add users - Reuters,"Wall Street analysts on Monday took a largely upbeat view on Robinhood Markets Inc in their first ratings on the stock as they bet on the online brokerage's ability to boost its user base, days after it warned of easing retail trading frenzy.",https://www.reuters.com/article/robinhood-research-idUSL4N2PU2SQ,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-23 17:32:00+00:00,Aug 23 (Reuters) - Wall Street analysts on Monday took a largely upbeat view on Robinhood Markets Inc in their first ratings on the stock as they bet on the online brokerages ability to boost its use… [+1849 chars],reuters,Reuters
Aniruddha Ghosh,Wall Street analysts bet on Robinhood's potential to add users - Reuters,"Wall Street analysts on Monday took a largely upbeat view on Robinhood Markets Inc <a href=""https://www.reuters.com/companies/HOOD.O"" target=""_blank"">(HOOD.O)</a> in their first ratings on the stock as they bet on the online brokerage's ability to boost its u…",https://www.reuters.com/business/finance/wall-street-analysts-bet-robinhoods-potential-add-users-2021-08-23/,https://www.reuters.com/resizer/CqkTyN0cHsDk3AhMYwpYFa_1mXA=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/PSMEKN4PAJNW3LTPBEPEWBM4B4.jpg,2021-08-23 17:47:00+00:00,"The logo of Robinhood Markets, Inc. is seen at a pop-up event on Wall Street after the company's IPO in New York City, U.S., July 29, 2021. REUTERS/Andrew Kelly/File PhotoAug 23 (Reuters) - Wall Stre… [+2119 chars]",reuters,Reuters
Sagarika Jaisinghani,EMERGING MARKETS-Russian rouble leads currencies higher as oil rebounds - Reuters,"The Russian rouble led gains among emerging market currencies on Tuesday as oil rebounded from its worst week this year, while a jump in Hong Kong-listed technology stocks lifted the regional equities index.",https://www.reuters.com/article/emerging-markets-idUSL1N2PV0F8,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-24 08:17:00+00:00,"* Rouble rises after hitting its lowest since July 20
* EM equities track best day in nearly a month
* Hong Kong tech stocks lead rebound in equities
* Hungarian forint firms ahead of central bank… [+2625 chars]",reuters,Reuters
Reuters Staff,Japanese shares track Wall St higher; Toyota bounces back - Reuters,"Japanese shares rose for a third straight session on Wednesday, underpinned by strength on Wall Street overnight, with buying back beaten down Toyota Motor and other related stocks.",https://www.reuters.com/article/japan-stocks-midday-idUSL4N2PW0Q0,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-25 02:53:00+00:00,"By Reuters Staff
TOKYO, Aug 25 (Reuters) - Japanese shares rose for a third straight session on Wednesday, underpinned by strength on Wall Street overnight, with buying back beaten down Toyota Motor… [+1363 chars]",reuters,Reuters
Erwin Seba,Phillips 66 refinery sale offers test of future for motor fuel suppliers - Reuters,"U.S. refiner Phillips 66's <a href=""https://www.reuters.com/companies/PSX.N"" target=""_blank"">(PSX.N)</a> decision to market a Louisiana oil processing plant offers a key test of investors' views on the pace of the transition to electric vehicles, refinery ind…",https://www.reuters.com/business/energy/phillips-66-refinery-sale-offers-test-future-motor-fuel-suppliers-2021-08-25/,https://www.reuters.com/resizer/4MIYToF1V08eGAmr85kkwz7SCgQ=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/OW2MXWA4PNMT3BPO4SXX746P4Q.jpg,2021-08-25 19:03:00+00:00,"The Phillips 66 gas station in Superior, Colorado, U.S., July 27, 2017. REUTERS/Rick Wilking/File PhotoHOUSTON, Aug 25 (Reuters) - U.S. refiner Phillips 66's (PSX.N) decision to market a Louisiana oi… [+2137 chars]",reuters,Reuters
Arundhati Dutta,EMERGING MARKETS-S.Korean stocks fall after c.bank rate hike; most others retreat - Reuters,* S.Korea lifts interest rates from record low * Malaysian ringgit at its strongest in a month * Thai stocks up for fifth straight day By Arundhati Dutta Aug 26 (Reuters) - South Korean stocks and the won fell on Thursday after the country's central bank rais…,https://www.reuters.com/article/emerging-markets-asia-idUSL4N2PX153,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-26 04:53:00+00:00,"* S.Korea lifts interest rates from record low 
 * Malaysian ringgit at its strongest in a month
 * Thai stocks up for fifth straight day
By Arundhati Dutta
 Aug 26 (Reuters) - South Korean stock… [+3228 chars]",reuters,Reuters
Sujata Rao,FOREX-Dollar rises off one-week low as 2021 taper bets grow - Reuters,FOREX-Dollar rises off one-week low as 2021 taper bets grow  Reuters,https://www.reuters.com/article/global-forex-idUSL8N2PX29L,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-26 09:33:00+00:00,"* Dollar rises off one-week lows ahead of Jackson Hole summit
* Korean won falls after rate hike
* Implied euro-dollar volatility at a one-week low
* Graphic: World FX rates tmsnrt.rs/2RBWI5E
LON… [+2576 chars]",reuters,Reuters
Sujata Rao,Dollar rises off one-week low as 2021 taper bets grow - Reuters,"The dollar rose from one-week lows on Thursday, supported by U.S. Treasury yields holding above 1.34% in a quiet market where focus was firmly trained on what signals the Federal Reserve might send at its annual Jackson Hole conference.",https://www.reuters.com/world/middle-east/dollar-rises-off-one-week-low-2021-taper-bets-grow-2021-08-26/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=50,2021-08-26 09:36:00+00:00,"LONDON, Aug 26 (Reuters) - The dollar rose from one-week lows on Thursday, supported by U.S. Treasury yields holding above 1.34% in a quiet market where focus was firmly trained on what signals the F… [+2572 chars]",reuters,Reuters
Sujata Rao,Dollar soft as traders look to Jackson Hole for taper clues - Reuters,"The dollar rose from one-week lows on Thursday, supported by U.S. Treasury yields holding near 1.35% in a quiet market where focus was firmly trained on what signals the Federal Reserve might send at its annual Jackson Hole conference.",https://www.reuters.com/article/us-global-forex-idUSKBN2FR02V,https://static.reuters.com/resources/r/?m=02&d=20210826&t=2&i=1572948641&r=LYNXMPEH7P00Z&w=800,2021-08-26 11:14:00+00:00,"LONDON (Reuters) - The dollar rose from one-week lows on Thursday, supported by U.S. Treasury yields holding near 1.35% in a quiet market where focus was firmly trained on what signals the Federal Re… [+2487 chars]",reuters,Reuters
Herbert Lash,FOREX-Dollar jumps after Fed official's taper talk stirs markets - Reuters,"* Dollar rises off one-week lows ahead of Jackson Hole summit * Korean won falls after rate hike * Implied euro-dollar volatility at one-week low * Graphic: World FX rates https://tmsnrt.rs/2RBWI5E (Adds Bullard comments, fresh prices) By Herbert Lash NEW YOR…",https://www.reuters.com/article/global-forex-idUSL1N2PX159,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-26 14:44:00+00:00,"* Dollar rises off one-week lows ahead of Jackson Hole
summit
 * Korean won falls after rate hike 
 * Implied euro-dollar volatility at one-week low 
 * Graphic: World FX rates tmsnrt.rs/2RBWI5E… [+4181 chars]",reuters,Reuters
